year,streaming,digital_downloads_and_ringtones,cds,cassettes,8_track,vinyl,other
1973,,,,527.4365135,2815.681824,8268.546216,
1974,,,,521.1669067,2848.008609,8037.897566,
1975,,,,517.9667844,2770.409498,8061.74908,
1976,,,,677.5584464,3047.215772,8573.271032,
1977,,,,1053.003089,3421.416287,10294.62395,
1978,,,,1763.71961,3717.221411,10718.77263,
1979,,,,2044.551711,2409.72569,8488.798405,
1980,,,,2187.356614,1635.087852,7601.452063,
1981,,,,2989.133769,880.3150825,7307.177686,
1982,,,,3667.949394,95.37463212,5849.909033,
1983,,,44.14960241,4648.285756,,5026.637581,
1984,,,254.1806362,5865.839483,,4545.970236,
1985,,,925.4498281,5729.710553,,3710.115293,
1986,,,2169.585545,5830.425835,,2825.056503,
1987,,,3586.399606,6692.992236,,2242.399954,
1988,,,4537.641614,7439.337758,,1539.993053,
1989,,,5333.74725,7299.4197,,694.191225,237.92595
1990,,,6763.271945,7296.689419,,353.8511959,337.0290826
1991,,,8208.053815,6100.479075,,175.1306762,221.6820242
1992,,,9788.21911,6223.052179,,145.5951126,286.8169052
1993,,,11601.34312,5686.908617,,109.3398104,377.3815785
1994,,,14698.72493,5608.755763,,112.1302632,398.6662126
1995,,,15916.99681,4260.782246,,120.4473268,369.5619232
1996,,,16487.83972,3412.996509,,137.3606444,384.7075698
1997,,,16227.92763,2638.125379,,109.749329,515.9333477
1998,,,18239.79377,2375.100583,,93.63633681,796.7715092
1999,,,20008.613,1702.74314,,91.61298259,578.0671783
2000,,,19830.78792,936.2212787,,80.17118467,418.523277
2001,,,18758.95869,516.9439396,,84.88216601,475.2246437
2002,,,17155.87791,295.8743046,,64.51822012,409.8470195
2003,,,15668.57839,150.1984875,,60.02381739,592.1794207
2004,,248.3486474,15520.77542,32.07554738,,53.05322605,853.5885119
2005,195.3099048,1209.952714,13800.37271,17.14852381,,35.86790476,829.4125714
2006,261.4904435,2092.430804,11898.57606,4.69211756,,32.46438095,623.0371235
2007,288.5853256,2950.476637,9209.201718,3.699811867,,33.17497974,650.3035991
2008,262.8967539,3189.315227,6502.360543,1.068685991,,70.77076121,395.4138168
2009,245.7220591,3169.838396,5152.179062,,,79.00762619,685.2094277
2010,249.0256943,3157.842773,3978.314435,,,106.9262868,731.1319349
2011,410.9806267,3298.074067,3528.455077,,,140.933622,731.6046168
2012,635.6159219,3358.623563,2771.57124,,,184.2494593,862.0943389
2013,948.4077553,3204.86316,2351.674837,,,234.5432836,980.5921609
2014,1138.309476,2757.176434,1924.430595,,,269.2750664,1140.578172
2015,1648.922133,2492.388132,1565.766719,,,365.8035531,1165.70494
2016,3278.872008,1966.916577,1207.798571,,,383.8062024,1235.439902
2017,5228.019045,1462.487182,1107.035513,,,411.5517548,965.6092419
2018,6530.187307,1055.891567,714.5767149,,,432.2063834,1291.688035
2019,7923.110406,854.1400794,615.758762,,,504.3848665,1214.18738
